LOCATION,YEAR,BRAND,MODEL,VARIANT,KM_DRIVEN,FUEL,NO_OF_OWNERS,PRICE
Gurgaon,2016,Maruti,Swift Dzire VDI ABS,Manual,"62,827 km",Diesel,1st Owner,"₹5,79,799"
Gurgaon,2014,Maruti,Swift Dzire VDI BS IV,Manual,"92,793 km",Diesel,1st Owner,"₹3,34,099"
Gurgaon,2010,Honda,City S MT PETROL,Manual,"1,42,754 km",Petrol,3rd Owner,"₹2,77,199"
Gurgaon,2014,Maruti,Swift VXI,Manual,"31,062 km",Petrol,1st Owner,"₹3,90,000"
Gurgaon,2011,Volkswagen,Polo TRENDLINE 1.2L PETROL,Manual,"57,549 km",Petrol,2nd Owner,"₹2,18,000"
Gurgaon,2017,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,"22,455 km",Petrol,1st Owner,"₹4,50,000"
Gurgaon,2019,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,"11,558 km",Petrol,1st Owner,"₹5,25,000"
Gurgaon,2019,Maruti,Alto LXI,Manual,"10,554 km",Petrol,1st Owner,"₹3,29,000"
Gurgaon,2017,Hyundai,Grand i10 SPORTZ O 1.2,Manual,"8,055 km",Petrol,1st Owner,"₹5,05,000"
Gurgaon,2018,Maruti,Alto 800 LXI,Manual,"11,373 km",Petrol,1st Owner,"₹2,90,000"
Gurgaon,2015,Tata,Nano TWIST XTA,Automatic,"37,315 km",Petrol,2nd Owner,"₹1,00,000"
Gurgaon,2013,Hyundai,Eon ERA PLUS,Manual,"20,439 km",Petrol,2nd Owner,"₹2,45,000"
Gurgaon,2018,Hyundai,Elite i20 Magna Executive 1.2,Manual,"4,110 km",Petrol,1st Owner,"₹6,18,000"
Gurgaon,2011,Hyundai,i10 MAGNA 1.2 KAPPA2,Manual,"18,834 km",Petrol,2nd Owner,"₹2,50,000"
Gurgaon,2010,Maruti,Swift VXI,Manual,"46,441 km",Petrol,1st Owner,"₹2,20,000"
Gurgaon,2016,Maruti,Wagon R 1.0 VXI,Manual,"27,654 km",Petrol,1st Owner,"₹3,40,000"
Gurgaon,2015,Maruti,Baleno SIGMA 1.2 K12,Manual,"46,137 km",Petrol,1st Owner,"₹4,39,000"
Gurgaon,2014,Hyundai,Santro Xing GL PLUS,Manual,"39,366 km",Petrol,1st Owner,"₹2,70,000"
Gurgaon,2017,Maruti,Baleno ZETA 1.2 K12 AMT,Automatic,"34,681 km",Petrol,1st Owner,"₹6,27,000"
Gurgaon,2010,Hyundai,i20 MAGNA 1.2 VTVT,Manual,"47,666 km",Petrol,1st Owner,"₹2,18,000"
Gurgaon,2015,Honda,Jazz 1.2 VX I-VTECH,,"54,817 km",Petrol,1st Owner,"₹4,50,000"
Gurgaon,2016,Maruti,Baleno ZETA 1.2 K12,Manual,"41,691 km",Petrol,1st Owner,"₹5,43,000"
Gurgaon,2018,Renault,Kwid RXL,Manual,"50,104 km",Petrol,1st Owner,"₹3,08,000"
Gurgaon,2018,Maruti,Alto K10 LXI,Manual,"42,519 km",Petrol,1st Owner,"₹3,20,000"
Gurgaon,2013,Hyundai,i20 MAGNA O 1.2,Manual,"60,410 km",Petrol,1st Owner,"₹3,45,000"
Gurgaon,2013,Volkswagen,Polo GT TSI 1.2 PETROL AT,Automatic,"70,325 km",Petrol,1st Owner,"₹4,60,000"
Gurgaon,2016,Renault,Pulse RX Z DIESEL,Manual,"67,051 km",Diesel,1st Owner,"₹4,30,000"
Gurgaon,2018,Maruti,Baleno DELTA 1.2 K12,Manual,"65,368 km",Petrol,1st Owner,"₹5,18,000"
Gurgaon,2016,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,"58,977 km",Petrol,1st Owner,"₹4,39,000"
Gurgaon,2014,Maruti,Alto 800 LXI,Manual,"71,859 km",Petrol,1st Owner,"₹2,18,332"
Gurgaon,2014,Hyundai,Santro Xing GL PLUS,Manual,"64,065 km",Petrol,2nd Owner,"₹2,42,625"
Gurgaon,2017,Maruti,Baleno DELTA 1.2 K12,Manual,"51,343 km",Petrol,1st Owner,"₹6,30,000"
Gurgaon,2018,Hyundai,Elite i20 Magna Executive 1.2,Manual,"39,423 km",Petrol,2nd Owner,"₹5,50,000"
Gurgaon,2015,Volkswagen,Polo COMFORTLINE 1.5L DIESEL,Manual,"88,591 km",Diesel,2nd Owner,"₹3,16,000"
Gurgaon,2018,Maruti,Swift ZXI AMT,Automatic,"59,607 km",Petrol,1st Owner,"₹6,50,000"
Gurgaon,2021,Volkswagen,Polo GTI TSI AT,Automatic,"3,586 km",Petrol,1st Owner,"₹9,95,000"
Gurgaon,2011,Volkswagen,Polo COMFORTLINE 1.2L PETROL,Manual,"89,747 km",Petrol,1st Owner,"₹2,25,000"
Gurgaon,2010,Maruti,Zen Estilo LXI CNG,Manual,"49,015 km",Petrol + CNG,1st Owner,"₹1,40,000"
Gurgaon,2017,Maruti,Celerio VXI AMT,Automatic,"36,779 km",Petrol,1st Owner,"₹3,25,000"
Gurgaon,2011,Chevrolet,Spark LT 1.0,Manual,"72,375 km",Petrol,1st Owner,"₹1,07,000"
Gurgaon,2011,Hyundai,i10 MAGNA 1.1 IRDE2,Manual,"67,475 km",Petrol + CNG,1st Owner,"₹1,95,000"
Gurgaon,2014,Hyundai,Eon MAGNA PLUS,Manual,"55,103 km",Petrol,1st Owner,"₹2,30,000"
Gurgaon,2017,Renault,Kwid RXT 1.0 EASY-R  AT,,"55,870 km",Petrol,1st Owner,"₹3,00,000"
Gurgaon,2010,Maruti,Alto K10 LXI,Manual,"15,303 km",Petrol,1st Owner,"₹1,93,000"
Gurgaon,2018,Maruti,Alto 800 LXI,Manual,"13,074 km",Petrol,1st Owner,"₹3,15,000"
Gurgaon,2017,Maruti,Alto 800 LXI,Manual,"39,077 km",Petrol,1st Owner,"₹2,45,000"
Gurgaon,2017,Hyundai,Grand i10 MAGNA 1.2 VTVT,Manual,"5,087 km",Petrol,1st Owner,"₹4,57,000"
Gurgaon,2016,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,"45,259 km",Petrol,1st Owner,"₹4,10,000"
Gurgaon,2011,Hyundai,i10 MAGNA 1.2 KAPPA2,Manual,"72,299 km",Petrol,1st Owner,"₹1,90,000"
Gurgaon,2016,Renault,Kwid RXE,Manual,"26,271 km",Petrol,1st Owner,"₹2,35,000"
Gurgaon,2014,Hyundai,Santro Xing GL PLUS,Manual,"39,378 km",Petrol,1st Owner,"₹2,71,000"
Gurgaon,2020,Maruti,IGNIS ALPHA 1.2 K12,Manual,"12,403 km",Petrol,1st Owner,"₹6,40,000"
Gurgaon,2018,Tata,Tiago XT 1.2 REVOTRON,Manual,"10,611 km",Petrol,1st Owner,"₹4,75,000"
Gurgaon,2018,Maruti,Swift LXI,Manual,"52,010 km",Petrol,1st Owner,"₹4,72,000"
Gurgaon,2016,Honda,Brio 1.2 S MT I VTEC,Manual,"36,373 km",Petrol,1st Owner,"₹3,99,000"
Gurgaon,2016,Maruti,Baleno RS 1.0 PETROL,Manual,674 km,Petrol,1st Owner,"₹6,60,000"
Gurgaon,2019,Renault,Kwid RXT,Manual,"31,898 km",Petrol,1st Owner,"₹3,79,000"
Gurgaon,2015,Maruti,Baleno ALPHA DDIS 190,Manual,"65,431 km",Diesel,1st Owner,"₹5,23,000"
Gurgaon,2019,Maruti,Baleno ALPHA 1.2 K12 AMT,Automatic,"20,333 km",Petrol,1st Owner,"₹7,68,000"
Gurgaon,2013,Honda,Brio 1.2 S MT I VTEC,Manual,"49,601 km",Petrol,1st Owner,"₹2,95,000"
Gurgaon,2011,Toyota,Etios Liva G,Manual,"61,825 km",Petrol,1st Owner,"₹2,55,000"
Gurgaon,2016,Hyundai,Grand i10 Magna 1.2 AT  VTVT,Automatic,"63,318 km",Petrol,1st Owner,"₹4,50,000"
Gurgaon,2018,Maruti,Baleno DELTA 1.2 K12,Manual,"32,165 km",Petrol,1st Owner,"₹6,25,000"
Gurgaon,2009,Hyundai,Santro Xing GLS,Manual,"66,860 km",Petrol,2nd Owner,"₹1,39,000"
Gurgaon,2010,Ford,Figo 1.2 EXI DURATEC,Manual,"67,417 km",Petrol,1st Owner,"₹1,70,108"
Gurgaon,2018,Maruti,Alto K10 VXI,Manual,"38,809 km",Petrol,1st Owner,"₹3,46,000"
Gurgaon,2020,Renault,Kwid 1.0 CLIMBER OPT AMT,,"19,551 km",Petrol,1st Owner,"₹4,89,000"
Gurgaon,2010,Maruti,Alto LXI,Manual,"84,097 km",Petrol,1st Owner,"₹1,53,000"
Gurgaon,2019,Honda,Jazz VX  1.2,Manual,"17,600 km",Petrol,1st Owner,"₹8,25,000"
Gurgaon,2013,Hyundai,i20 SPORTZ 1.4 CRDI,Manual,"92,650 km",Diesel,2nd Owner,"₹3,19,000"
Gurgaon,2015,Ford,Figo 1.4 LXI DURATORQ,Manual,"85,172 km",Diesel,3rd Owner,"₹2,08,000"
Gurgaon,2016,Maruti,Baleno DELTA 1.2 K12,Manual,"82,944 km",Petrol,2nd Owner,"₹4,60,000"
Gurgaon,2008,Maruti,Wagon R LXI,Manual,"59,914 km",Petrol,1st Owner,"₹1,11,000"
Gurgaon,2018,Maruti,Swift LDI BS IV,Manual,"91,960 km",Diesel,1st Owner,"₹4,70,000"
Gurgaon,2012,Hyundai,i20 SPORTZ 1.2 VTVT,Manual,"83,226 km",Petrol,1st Owner,"₹3,23,000"
Gurgaon,2016,Renault,Kwid RXE,Manual,"49,601 km",Petrol,1st Owner,"₹2,45,000"
Gurgaon,2014,Hyundai,Elite i20 SPORTZ 1.2,Manual,"61,025 km",Petrol,1st Owner,"₹4,88,500"
Gurgaon,2018,Hyundai,Elite i20 Magna Executive 1.2 AT,Manual,"39,238 km",Petrol,1st Owner,"₹6,85,000"
Gurgaon,2014,Maruti,Wagon R Stingray LXI,Manual,"1,00,479 km",Petrol,1st Owner,"₹3,10,000"
Gurgaon,2020,Maruti,Alto LXI,Manual,"3,835 km",Petrol,1st Owner,"₹3,40,000"
Gurgaon,2019,Renault,Kwid RXL,Manual,"14,464 km",Petrol + CNG,1st Owner,"₹3,95,000"
Gurgaon,2019,Maruti,Baleno ALPHA 1.2 K12 AMT,Automatic,"20,202 km",Petrol,1st Owner,"₹8,04,000"
Gurgaon,2017,Maruti,Swift LXI OPT,Manual,"53,388 km",Petrol,1st Owner,"₹4,25,000"
Gurgaon,2014,Hyundai,Santro Xing GL,Manual,"32,360 km",Petrol,1st Owner,"₹2,64,000"
Gurgaon,2011,Maruti,Alto LXI,Manual,"64,692 km",Petrol,2nd Owner,"₹1,25,984"
Gurgaon,2011,Chevrolet,Beat LT PETROL,Manual,"69,227 km",Petrol,1st Owner,"₹1,39,000"
Gurgaon,2013,Hyundai,Santro Xing GLS,Manual,"63,564 km",Petrol,3rd Owner,"₹1,75,000"
Gurgaon,2010,Maruti,Wagon R 1.0 VXI,Manual,"62,339 km",Petrol,2nd Owner,"₹1,78,000"
Gurgaon,2018,Maruti,Swift LXI,Manual,"25,400 km",Petrol,1st Owner,"₹4,82,000"
Gurgaon,2020,Maruti,Swift LXI,Manual,"6,385 km",Petrol,1st Owner,"₹5,40,000"
Gurgaon,2008,Maruti,Wagon R LXI,Manual,"45,717 km",Petrol,1st Owner,"₹1,13,000"
Gurgaon,2018,Maruti,Alto 800 LXI CNG,Manual,"42,811 km",Petrol + CNG,1st Owner,"₹3,50,000"
Gurgaon,2021,Maruti,IGNIS ZETA 1.2 K12,Automatic,"4,424 km",Petrol,1st Owner,"₹6,40,000"
Gurgaon,2015,Hyundai,Eon MAGNA PLUS,Manual,"20,494 km",Petrol,1st Owner,"₹2,70,000"
Gurgaon,2015,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,"27,389 km",Petrol,1st Owner,"₹4,14,000"
Gurgaon,2014,Maruti,Swift VXI,Manual,"31,059 km",Petrol,1st Owner,"₹3,85,000"
Gurgaon,2018,Hyundai,Eon ERA PLUS,Manual,"1,412 km",Petrol,1st Owner,"₹3,40,000"
Gurgaon,2016,Maruti,Wagon R 1.0 VXI,Manual,"38,766 km",Petrol,1st Owner,"₹3,55,000"
Gurgaon,2017,Renault,Kwid RXL,Manual,"37,380 km",Petrol,1st Owner,"₹2,25,000"
Gurgaon,2015,Hyundai,Eon MAGNA PLUS,Manual,"20,622 km",Petrol,1st Owner,"₹3,02,000"
Gurgaon,2009,Maruti,Alto LXI,Manual,"32,343 km",Petrol,1st Owner,"₹1,37,000"
Gurgaon,2017,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,"30,161 km",Petrol,1st Owner,"₹4,19,000"
Gurgaon,2017,Renault,Kwid CLIMBER 1.0 AT,Manual,"20,040 km",Petrol,1st Owner,"₹3,99,999"
Gurgaon,2016,Hyundai,Grand i10 Magna 1.2 AT  VTVT,Automatic,"63,318 km",Petrol,1st Owner,"₹4,50,000"
Gurgaon,2018,Maruti,Baleno DELTA 1.2 K12,Manual,"32,165 km",Petrol,1st Owner,"₹6,25,000"
Gurgaon,2009,Hyundai,Santro Xing GLS,Manual,"66,860 km",Petrol,2nd Owner,"₹1,39,000"
Gurgaon,2010,Ford,Figo 1.2 EXI DURATEC,Manual,"67,417 km",Petrol,1st Owner,"₹1,70,108"
Gurgaon,2018,Maruti,Alto K10 VXI,Manual,"38,809 km",Petrol,1st Owner,"₹3,46,000"
Gurgaon,2020,Renault,Kwid 1.0 CLIMBER OPT AMT,,"19,551 km",Petrol,1st Owner,"₹4,89,000"
Gurgaon,2010,Maruti,Alto LXI,Manual,"84,097 km",Petrol,1st Owner,"₹1,53,000"
Gurgaon,2019,Honda,Jazz VX  1.2,Manual,"17,600 km",Petrol,1st Owner,"₹8,25,000"
Gurgaon,2013,Hyundai,i20 SPORTZ 1.4 CRDI,Manual,"92,650 km",Diesel,2nd Owner,"₹3,19,000"
Gurgaon,2015,Ford,Figo 1.4 LXI DURATORQ,Manual,"85,172 km",Diesel,3rd Owner,"₹2,08,000"
Gurgaon,2016,Maruti,Baleno DELTA 1.2 K12,Manual,"82,944 km",Petrol,2nd Owner,"₹4,60,000"
Gurgaon,2008,Maruti,Wagon R LXI,Manual,"59,914 km",Petrol,1st Owner,"₹1,11,000"
Gurgaon,2018,Maruti,Swift LDI BS IV,Manual,"91,960 km",Diesel,1st Owner,"₹4,70,000"
Gurgaon,2012,Hyundai,i20 SPORTZ 1.2 VTVT,Manual,"83,226 km",Petrol,1st Owner,"₹3,23,000"
Gurgaon,2016,Renault,Kwid RXE,Manual,"49,601 km",Petrol,1st Owner,"₹2,45,000"
Gurgaon,2014,Hyundai,Elite i20 SPORTZ 1.2,Manual,"61,025 km",Petrol,1st Owner,"₹4,88,500"
Gurgaon,2018,Hyundai,Elite i20 Magna Executive 1.2 AT,Manual,"39,238 km",Petrol,1st Owner,"₹6,85,000"
Gurgaon,2014,Maruti,Wagon R Stingray LXI,Manual,"1,00,479 km",Petrol,1st Owner,"₹3,10,000"
Gurgaon,2020,Maruti,Alto LXI,Manual,"3,835 km",Petrol,1st Owner,"₹3,40,000"
Gurgaon,2019,Renault,Kwid RXL,Manual,"14,464 km",Petrol + CNG,1st Owner,"₹3,95,000"
Gurgaon,2014,Datsun,Go T,Manual,"61,307 km",Petrol,1st Owner,"₹2,25,000"
Gurgaon,2015,Hyundai,Elite i20 ASTA 1.2,Manual,"56,533 km",Petrol,1st Owner,"₹5,27,000"
Gurgaon,2014,Maruti,Ritz LDI,Manual,"73,353 km",Diesel,1st Owner,"₹2,42,000"
Gurgaon,2015,Maruti,Swift LXI OPT,Manual,"71,325 km",Petrol,1st Owner,"₹4,50,000"
Gurgaon,2010,Hyundai,i10 MAGNA 1.2 KAPPA2,Manual,"67,529 km",Petrol,3rd Owner,"₹1,60,000"
Gurgaon,2015,Honda,Jazz 1.2 V AT,Automatic,"44,356 km",Petrol,1st Owner,"₹4,67,000"
Gurgaon,2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,"35,650 km",Petrol,1st Owner,"₹3,45,000"
Gurgaon,2017,Maruti,Alto 800 LXI,Manual,"38,682 km",Petrol,1st Owner,"₹2,25,000"
Gurgaon,2012,Hyundai,i20 MAGNA O 1.2,Manual,"44,822 km",Petrol,1st Owner,"₹3,12,000"
Gurgaon,2011,Chevrolet,Beat LT PETROL,Manual,"1,13,513 km",Petrol + CNG,2nd Owner,"₹1,20,994"
Gurgaon,2017,Maruti,Baleno DELTA 1.2 K12,Manual,"54,651 km",Petrol + CNG,1st Owner,"₹5,39,000"
Gurgaon,2010,Maruti,Wagon R LXI,Manual,"1,41,557 km",Petrol + CNG,2nd Owner,"₹1,39,120"
Gurgaon,2011,Maruti,Alto LXI,Manual,"44,419 km",Petrol,2nd Owner,"₹1,38,000"
Gurgaon,2011,Hyundai,i10 MAGNA 1.1 IRDE2,Manual,"47,724 km",Petrol,1st Owner,"₹2,17,000"
Gurgaon,2015,Maruti,Alto K10 LXI,Manual,"36,764 km",Petrol,1st Owner,"₹2,73,000"
Gurgaon,2016,Maruti,Alto K10 VXI,Manual,"39,756 km",Petrol,1st Owner,"₹2,69,000"
Gurgaon,2010,Hyundai,Santro Xing GL PLUS,Manual,"51,217 km",Petrol,2nd Owner,"₹1,30,893"
Gurgaon,2011,Ford,Figo 1.2 TITANIUM DURATEC,Manual,"51,161 km",Petrol,1st Owner,"₹1,88,400"
Gurgaon,2018,Maruti,Alto 800 LXI,Manual,"13,079 km",Petrol,1st Owner,"₹3,41,000"
Gurgaon,2020,Maruti,Swift VXI,Manual,"22,197 km",Petrol,1st Owner,"₹5,80,000"
Gurgaon,2016,Datsun,Redi Go S(O),Manual,"40,820 km",Petrol,1st Owner,"₹2,39,000"
Gurgaon,2016,Maruti,Alto K10 VXI,Manual,"50,112 km",Petrol,2nd Owner,"₹2,90,000"
Gurgaon,2019,Maruti,Swift LXI,Manual,"43,280 km",Petrol,1st Owner,"₹4,90,000"
Gurgaon,2010,Hyundai,i10 SPORTZ 1.2,Manual,"42,017 km",Petrol,1st Owner,"₹2,25,000"
Gurgaon,2010,Maruti,Wagon R 1.0 LXI,Manual,"46,741 km",Petrol,1st Owner,"₹2,15,000"
Gurgaon,2016,Honda,Brio 1.2 S MT I VTEC,Manual,"3,441 km",Petrol,1st Owner,"₹4,54,000"
Gurgaon,2016,Maruti,Baleno DELTA 1.2 K12 AMT,Automatic,"40,520 km",Petrol,1st Owner,"₹5,33,000"
Gurgaon,2019,Maruti,Baleno DELTA 1.2 K12,Manual,"24,376 km",Petrol,1st Owner,"₹6,02,000"
Gurgaon,2010,Hyundai,i10 MAGNA 1.2,Manual,"63,730 km",Petrol,1st Owner,"₹1,85,000"
Gurgaon,2017,Maruti,Baleno ZETA 1.2 K12 AMT,Automatic,"34,677 km",Petrol,1st Owner,"₹6,25,000"
Gurgaon,2012,Maruti,A Star LXI,Manual,"53,322 km",Petrol,1st Owner,"₹2,11,000"
Gurgaon,2016,Hyundai,i10 SPORTZ 1.1 IRDE2,Manual,"15,878 km",Petrol,1st Owner,"₹3,65,000"
Gurgaon,2019,Maruti,Baleno ALPHA 1.2 K12,Manual,"9,663 km",Petrol,1st Owner,"₹7,25,000"
Gurgaon,2019,Maruti,Alto 800 LXI,Manual,"32,617 km",Petrol,1st Owner,"₹3,60,000"
Gurgaon,2018,Maruti,Alto 800 VXI,Manual,"34,367 km",Petrol,1st Owner,"₹2,95,000"
Gurgaon,2014,Hyundai,Eon ERA PLUS,Manual,"54,530 km",Petrol,1st Owner,"₹2,25,000"
Gurgaon,2010,Hyundai,i20 SPORTZ 1.2 O,Manual,"53,720 km",Petrol,1st Owner,"₹2,50,000"
Gurgaon,2017,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,"45,251 km",Petrol,1st Owner,"₹4,56,000"
Gurgaon,2014,Chevrolet,Beat LS DIESEL,Manual,"89,872 km",Diesel,1st Owner,"₹1,63,000"
Gurgaon,2018,Hyundai,Elite i20 Magna Executive 1.2,Manual,"28,544 km",Petrol,1st Owner,"₹5,80,000"
Gurgaon,2010,Volkswagen,Polo HIGHLINE1.2L PETROL,Manual,"62,216 km",Petrol,1st Owner,"₹2,50,000"
Gurgaon,2016,Maruti,Wagon R Stingray VXI,Manual,"50,651 km",Petrol,1st Owner,"₹3,69,000"
Gurgaon,2016,Volkswagen,Polo COMFORTLINE 1.2L PETROL,Manual,"63,401 km",Petrol,1st Owner,"₹4,47,000"
Gurgaon,2016,Maruti,Wagon R 1.0 VXI,Manual,"45,312 km",Petrol,1st Owner,"₹3,75,000"
Gurgaon,2017,Honda,Jazz 1.2 V AT,Automatic,"50,098 km",Petrol,1st Owner,"₹5,98,000"
Gurgaon,2014,Maruti,Swift VXI,Manual,"53,872 km",Petrol,1st Owner,"₹4,40,000"
Gurgaon,2016,Maruti,Wagon R 1.0 VXI,Manual,"63,839 km",Petrol + CNG,2nd Owner,"₹2,82,571"
Gurgaon,2018,Datsun,Redi Go A,Manual,"41,014 km",Petrol,1st Owner,"₹2,50,000"
Gurgaon,2009,Hyundai,Santro Xing GL,Manual,"1,00,706 km",Petrol,1st Owner,"₹1,47,000"
Gurgaon,2010,Hyundai,i20 SPORTZ 1.2 O,Manual,"73,454 km",Petrol,1st Owner,"₹2,65,000"
Gurgaon,2017,Maruti,IGNIS ZETA 1.2 K12,Manual,"46,826 km",Petrol,1st Owner,"₹5,08,000"
Gurgaon,2018,Honda,Jazz 1.5 VX I DTEC,Manual,"61,916 km",Diesel,1st Owner,"₹6,25,000"
Gurgaon,2017,Hyundai,Elite i20 SPORTZ 1.4,Manual,"49,797 km",Diesel,1st Owner,"₹5,61,000"
Gurgaon,2014,Maruti,Swift ZXI,Manual,"51,842 km",Petrol,1st Owner,"₹4,05,000"
Gurgaon,2017,Renault,Kwid 1.0 RXL,Manual,"23,645 km",Petrol,1st Owner,"₹3,30,000"
Gurgaon,2018,Hyundai,Grand i10 MAGNA 1.2 VTVT,Manual,"13,278 km",Petrol,1st Owner,"₹4,45,000"
Gurgaon,2012,Maruti,Swift LXI,Manual,"51,961 km",Petrol,1st Owner,"₹2,75,000"
Gurgaon,2018,Hyundai,Elite i20 Magna Executive 1.2,Manual,"54,165 km",Petrol + CNG,1st Owner,"₹4,55,000"
Gurgaon,2012,Maruti,Wagon R 1.0 LXI CNG,Manual,"44,963 km",Petrol + CNG,1st Owner,"₹2,65,000"
Gurgaon,2009,Chevrolet,Spark LS 1.0,Manual,"26,640 km",Petrol,1st Owner,"₹72,000"
Gurgaon,2012,Hyundai,i20 SPORTZ 1.2 VTVT,Manual,"79,559 km",Petrol + CNG,2nd Owner,"₹3,09,000"
Gurgaon,2016,Hyundai,i10 MAGNA 1.1 IRDE2,Manual,"71,719 km",Petrol + CNG,1st Owner,"₹2,91,000"
Gurgaon,2016,Maruti,Alto K10 VXI,Manual,"65,449 km",Petrol + CNG,1st Owner,"₹2,76,000"
Gurgaon,2015,Maruti,Baleno ZETA 1.2 K12,Manual,"14,807 km",Petrol,1st Owner,"₹5,25,000"
Gurgaon,2015,Hyundai,Eon ERA PLUS,Manual,"39,323 km",Petrol,1st Owner,"₹2,52,000"
Gurgaon,2018,Hyundai,Elite i20 SPORTZ 1.2,Manual,"15,847 km",Petrol,1st Owner,"₹6,50,000"
Gurgaon,2015,Hyundai,Elite i20 SPORTZ 1.2,Manual,"34,369 km",Petrol,1st Owner,"₹5,24,000"
Gurgaon,2013,Hyundai,Santro Xing GLS,Manual,"40,181 km",Petrol,2nd Owner,"₹2,18,936"
Gurgaon,2019,Datsun,Redi Go S 1.0,Manual,"9,620 km",Petrol,1st Owner,"₹3,23,600"
Gurgaon,2020,Maruti,Swift LXI,Manual,"6,648 km",Petrol,1st Owner,"₹5,65,000"
Gurgaon,2016,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT OPT,Manual,"31,430 km",Petrol,1st Owner,"₹4,60,000"
Gurgaon,2016,Datsun,Redi Go S(O),Manual,"40,820 km",Petrol,1st Owner,"₹2,39,000"
Gurgaon,2016,Maruti,Alto K10 VXI,Manual,"50,112 km",Petrol,2nd Owner,"₹2,90,000"
Gurgaon,2019,Maruti,Swift LXI,Manual,"43,280 km",Petrol,1st Owner,"₹4,90,000"
Gurgaon,2010,Hyundai,i10 SPORTZ 1.2,Manual,"42,017 km",Petrol,1st Owner,"₹2,25,000"
Gurgaon,2010,Maruti,Wagon R 1.0 LXI,Manual,"46,741 km",Petrol,1st Owner,"₹2,15,000"
Gurgaon,2016,Honda,Brio 1.2 S MT I VTEC,Manual,"3,441 km",Petrol,1st Owner,"₹4,54,000"
Gurgaon,2016,Maruti,Baleno DELTA 1.2 K12 AMT,Automatic,"40,520 km",Petrol,1st Owner,"₹5,33,000"
Gurgaon,2019,Maruti,Baleno DELTA 1.2 K12,Manual,"24,376 km",Petrol,1st Owner,"₹6,02,000"
Gurgaon,2010,Hyundai,i10 MAGNA 1.2,Manual,"63,730 km",Petrol,1st Owner,"₹1,85,000"
Gurgaon,2017,Maruti,Baleno ZETA 1.2 K12 AMT,Automatic,"34,677 km",Petrol,1st Owner,"₹6,25,000"
Gurgaon,2012,Maruti,A Star LXI,Manual,"53,322 km",Petrol,1st Owner,"₹2,11,000"
Gurgaon,2016,Hyundai,i10 SPORTZ 1.1 IRDE2,Manual,"15,878 km",Petrol,1st Owner,"₹3,65,000"
Gurgaon,2019,Maruti,Baleno ALPHA 1.2 K12,Manual,"9,663 km",Petrol,1st Owner,"₹7,25,000"
Gurgaon,2019,Maruti,Alto 800 LXI,Manual,"32,617 km",Petrol,1st Owner,"₹3,60,000"
Gurgaon,2018,Maruti,Alto 800 VXI,Manual,"34,367 km",Petrol,1st Owner,"₹2,95,000"
Gurgaon,2014,Hyundai,Eon ERA PLUS,Manual,"54,530 km",Petrol,1st Owner,"₹2,25,000"
Gurgaon,2010,Hyundai,i20 SPORTZ 1.2 O,Manual,"53,720 km",Petrol,1st Owner,"₹2,50,000"
Gurgaon,2017,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,"45,251 km",Petrol,1st Owner,"₹4,56,000"
Gurgaon,2014,Chevrolet,Beat LS DIESEL,Manual,"89,872 km",Diesel,1st Owner,"₹1,63,000"
Gurgaon,2018,Hyundai,Elite i20 Magna Executive 1.2,Manual,"28,544 km",Petrol,1st Owner,"₹5,80,000"
Gurgaon,2010,Honda,Jazz 1.2 SELECT I VTEC,Manual,"53,744 km",Petrol,1st Owner,"₹2,75,000"
Gurgaon,2016,Maruti,Wagon R 1.0 VXI,Manual,"45,321 km",Petrol,1st Owner,"₹3,75,000"
Gurgaon,2019,Volkswagen,Polo GT TSI,Manual,"15,545 km",Petrol,1st Owner,"₹8,17,000"
Gurgaon,2016,Maruti,Wagon R 1.0 VXI,Manual,"45,306 km",Petrol,1st Owner,"₹3,75,000"
Gurgaon,2013,Hyundai,i10 ASTA 1.2 KAPPA2,Manual,"64,770 km",Petrol,2nd Owner,"₹2,45,000"
Gurgaon,2014,Chevrolet,Beat LS DIESEL,Manual,"73,411 km",Diesel,1st Owner,"₹1,68,810"
Gurgaon,2017,Renault,Kwid RXL,Manual,"75,572 km",Petrol,1st Owner,"₹2,95,000"
Gurgaon,2015,Hyundai,i10 SPORTZ 1.1 IRDE2,Manual,"58,463 km",Petrol,1st Owner,"₹3,28,900"
Gurgaon,2017,Maruti,Baleno DELTA 1.2 K12,Manual,"51,346 km",Petrol,1st Owner,"₹5,39,000"
Gurgaon,2010,Maruti,Swift VXI,Manual,"92,181 km",Petrol,3rd Owner,"₹1,90,500"
Gurgaon,2018,Maruti,Baleno DELTA 1.2 K12,Manual,"52,995 km",Petrol,1st Owner,"₹5,51,000"
